Day,Mesocosm,Depth,Chla,Light,NH4,NO2,NO3,O2,pH,PO4,SiO2,Temp
10,5,1,2.559230495,0.155,1.429,0.18,2.274,4.41,7.942690058,1.505,3.272,19.42
10,5,2,0.581115898,0.00298,2.786,0.393,6.265,1.79,7.630628571,2.02,7.787,18.26
10,6,1,2.953220996,0.153,1.398,0.199,1.757,4.29,7.915146199,1.544,3.44,19.46
10,6,2,0.608389845,0.00345,3.206,0.386,5.065,1.57,7.618914286,2.088,8.556,18.32
10,7,1,2.689522612,0.152,1.502,0.176,1.504,4.23,7.920584795,1.538,2.932,19.38
10,7,2,0.766608876,0.00333,2.066,0.266,4.346,1.46,7.620571429,1.949,7.556,18.3
10,8,1,2.957841997,0.147,0.925,0.136,1.568,4.48,7.945146199,1.486,2.982,19.43
10,8,2,0.842554011,0.00198,2.571,0.272,4.698,1.54,7.62,2.028,7.424,18.31
12,5,1,5.506323643,0.173,1.093,0.251,2.947,4.63,7.849766082,1.787,4.881,19.64
12,5,2,0.78341023,0.00733,1.724,0.285,3.389,1.77,7.640457143,2.252,10.632,18.12
12,6,1,6.424496305,0.16,1.143,0.496,2.274,4.54,7.880584795,1.832,5.034,19.56
12,6,2,1.144677017,0.00752,2.456,1.125,4.361,1.74,7.64,2.266,11.556,18.37
12,7,1,6.177306276,0.159,0.703,0.408,1.738,4.38,7.881871345,1.792,4.153,19.52
12,7,2,1.635306697,0.007,2.068,1.005,3.966,1.52,7.649314286,2.209,11.214,18.41
12,8,1,4.549073393,0.153,1.384,0.17,1.893,4.43,7.858888889,1.833,4.937,19.52
12,8,2,0.802396514,0.00886,1.856,0.238,2.643,1.59,7.63,2.22,10.362,18.06
14,5,1,6.091583373,0.0565,0.231,0.107,0.302,4.45,7.811754386,1.873,5.714,20.13
14,5,2,0.663992533,0.00253,2.136,0.25,2.446,2.05,7.6332,2.189,9.396,18.81
14,6,1,7.575426741,0.201,1.099,0.556,1.15,4.63,7.81877193,1.814,5.534,20.16
14,6,2,0.93846488,0.0125,2.722,0.903,3.515,2.29,7.63,2.178,9.718,18.8
14,7,1,9.487817655,0.192,0.265,0.352,0.36,4.76,7.847719298,1.751,3.694,20.1
14,7,2,1.185437253,0.0101,2.266,0.76,2.86,2.08,7.64,2.132,9.151,18.8
14,8,1,6.090980634,0.197,0.28,0.077,0.123,4.37,7.787953216,1.893,5.446,20.18
14,8,2,0.710629476,0.0117,2.268,0.156,1.764,2.1,7.623028571,2.193,9.147,18.78
16,5,1,4.130496156,0.167,0.063,0.071,0.123,4.5,7.826608187,1.721,5.109,20.88
16,5,2,0.413298246,0.00326,0.127,0.203,1.475,1.81,7.604971429,1.846,8.694,18.8
16,6,1,4.466221871,0.154,0.222,0.154,0.123,4.63,7.830877193,1.534,4.905,20.92
16,6,2,0.389248953,0.00248,0.212,0.406,2.213,2.04,7.606914286,1.731,9.166,18.82
16,7,1,9.527648669,0.161,0.063,0.08,0.123,5.11,7.915789474,1.579,3.46,20.86
16,7,2,0.770541749,0.00288,0.063,0.334,1.376,2.06,7.612171429,1.637,9.031,18.79
16,8,1,4.220078265,0.159,0.063,0.062,0.123,4.43,7.812046784,1.772,4.756,20.87
16,8,2,0.615035044,0.00312,0.208,0.156,0.955,1.77,7.601142857,1.858,8.886,18.8
18,5,1,6.070788872,0.197,0.063,0.054,0.123,4.96,7.899883041,1.694,5.065,21.6
18,5,2,0.55711181,0.00693,0.107,0.112,0.565,1.67,7.567657143,1.799,8.81,18.82
18,6,1,5.32821422,0.187,0.063,0.061,0.123,4.83,7.87871345,1.664,4.576,21.6
18,6,2,0.477489967,0.00652,0.215,0.352,2.333,1.75,7.572171429,1.605,9.331,18.79
18,7,1,9.701840287,0.202,0.063,0.054,0.123,5.6,7.982923977,1.602,3.535,21.56
18,7,2,1.94202559,0.00667,0.063,0.113,0.492,1.71,7.5816,1.631,8.692,18.82
18,8,1,5.392405941,0.198,0.063,0.054,0.123,4.83,7.867953216,1.806,4.35,21.59
18,8,2,1.621428628,0.00729,0.063,0.065,0.159,1.56,7.561485714,1.811,8.624,18.78
20,5,1,8.487848266,0.161,0.063,0.062,0.136,5.32,8.076725146,1.576,5.441,21.32
20,5,2,1.085352415,0.0102,0.063,0.077,0.123,1.37,7.55,1.986,8.834,18.7
20,6,1,7.940259735,0.14,0.225,0.152,0.75,5.12,8.041871345,1.801,7.063,21.34
20,6,2,0.535232379,0.0101,0.063,0.222,1.632,1.58,7.5656,2.003,9.467,18.68
20,7,1,14.01443901,0.155,0.063,0.054,0.123,6.06,8.184912281,1.509,4.084,21.28
20,7,2,0.693511683,0.011,0.063,0.063,0.123,1.4,7.5588,1.874,8.832,18.68
20,8,1,7.952013148,0.131,0.063,0.054,0.123,5.33,8.04877193,1.784,4.612,21.31
20,8,2,0.676032248,0.00742,0.225,0.228,0.798,1.29,7.5488,2.21,10.502,18.66
24,5,1,7.742184577,0.209,0.063,0.054,0.123,6.28,8.159181287,1.721,5.896,20.19
24,5,2,0.649993916,0.0142,0.31,0.054,0.123,0.852,7.54,1.928,8.825,19.49
24,6,1,11.1783001,0.196,0.063,0.054,0.123,6.77,8.249005848,1.545,5.335,20.18
24,6,2,0.910377235,0.012,1.052,0.054,0.123,1.25,7.5424,1.901,9.487,19.49
24,7,1,8.637704291,0.209,0.063,0.054,0.123,6.25,8.249590643,1.496,4.837,20.17
24,7,2,0.130794399,0.0146,0.174,0.07,0.123,0.669,7.550914286,1.713,8.661,19.5
24,8,1,7.054660102,0.219,0.063,0.054,0.123,6.01,8.119707602,1.766,5.069,20.17
24,8,2,0.512750208,0.0138,0.063,0.054,0.123,0.867,7.546514286,1.817,8.206,19.49
38,5,1,6.438761132,0.205,0.096,0.054,0.123,5.14,8.047836257,1.636,6.336,18.72
38,5,2,1.918619219,0.0369,0.103,0.054,0.123,1.09,7.591771429,1.792,8.083,17.93
38,6,1,5.768615637,0.209,0.14,0.054,0.123,4.95,8.07,1.568,6.432,18.73
38,6,2,1.478318259,0.0349,0.132,0.054,0.123,0.774,7.610628571,1.685,8.516,17.93
38,7,1,7.14788376,0.158,0.11,0.054,0.123,4.67,8.059649123,1.372,5.128,18.68
38,7,2,1.593642353,0.0414,0.15,0.054,0.123,0.488,7.638285714,1.621,7.83,17.94
38,8,1,6.616569186,0.152,0.12,0.054,0.123,4.94,7.950292398,1.674,5.236,18.72
38,8,2,1.390519254,0.0364,0.245,0.054,0.123,1.08,7.577257143,1.749,7.491,17.94
50,5,1,23.76736145,0.0707,0.138,0.056,0.123,5.1,8.33,1.424,3.38,18.59
50,5,2,2.589216769,0.00438,0.13,0.065,0.123,1.27,7.664,1.504,6.48,17.39
50,6,1,23.97967632,0.073,0.107,0.065,0.123,4.43,8.142807018,1.389,3.46,18.59
50,6,2,1.479799993,0.00413,0.234,0.063,0.123,0.894,7.685314286,1.464,6.64,17.37
50,7,1,47.32270939,0.0587,0.117,0.065,0.123,4.59,8.379181287,1.417,3.5,18.55
50,7,2,11.28274978,0.00487,0.886,0.054,0.123,0.798,7.7144,1.479,6.23,17.38
50,8,1,8.60621117,0.0852,0.123,0.062,0.123,4.76,8.2,1.887,3.84,18.58
50,8,2,2.833853527,0.00389,0.71,0.057,0.123,1.11,7.631142857,1.725,6.15,17.36
